Student_ID,CGPA,Internships,Placed,Salary (INR LPA)
127,6.71,4,Yes,6.02
128,7.05,3,Yes,16.94
129,7.58,2,Yes,24.24
130,7.1,3,Yes,28.45
131,6.26,0,Yes,23.16
132,7.55,0,Yes,22.46
133,6.65,3,Yes,25.32
134,7.88,3,Yes,15.05
135,6.76,0,Yes,24.76
136,8.74,2,Yes,3.22
137,6.87,4,Yes,27.96
139,8.15,3,Yes,14.97
140,6.52,4,Yes,17.94
142,8.55,0,Yes,9.88
143,6.21,3,Yes,23.05
146,8.13,2,Yes,5.07
147,6.51,4,Yes,26.56
149,7.92,1,Yes,25.36
150,7.74,1,Yes,8.83
152,7.78,4,Yes,24.85
153,6.96,3,Yes,24.23
154,7.69,1,Yes,20.07
156,6.93,0,Yes,13.09
157,8.99,2,Yes,10.33
158,7.88,4,Yes,9.26
159,6.55,4,Yes,11.6
160,8.03,2,Yes,27.4
162,8.13,0,Yes,5.1
163,8.43,0,Yes,25.38
165,8.27,3,Yes,12.42
167,8.16,3,Yes,17.08
168,9.02,4,Yes,24.45
169,7.3,1,Yes,26.88
171,6.79,2,Yes,12.31
172,6.85,1,Yes,15.47
173,7.44,0,Yes,14.19
174,7.77,1,Yes,3.36
175,7.72,4,Yes,10.99
177,7.51,2,Yes,15.4
179,7.29,3,Yes,14.1
180,9.68,3,Yes,22.49
181,8.0,4,Yes,13.39
182,6.81,3,Yes,16.21
185,7.32,3,Yes,14.6
186,8.07,1,Yes,23.0
187,7.88,4,Yes,26.3
189,6.82,4,Yes,17.36
190,6.29,4,Yes,24.31
192,8.19,0,Yes,11.01
193,7.67,1,Yes,17.62
194,6.5,2,Yes,12.32
196,7.81,1,Yes,14.18
197,6.79,1,Yes,22.78
198,7.62,0,Yes,26.8
199,7.55,1,Yes,6.28
200,6.59,0,Yes,20.14
201,7.79,3,Yes,18.72
202,7.95,2,Yes,6.2
203,8.37,0,Yes,8.72
204,8.34,3,Yes,11.4
205,6.4,0,Yes,7.51
207,7.91,2,Yes,9.58
210,10.58,0,Yes,10.23
211,7.96,1,Yes,12.06
212,8.41,3,Yes,23.23
213,8.26,1,Yes,18.44
214,8.02,1,Yes,29.63
215,7.25,0,Yes,14.2
216,8.11,0,Yes,23.35
218,7.31,0,Yes,26.53
220,7.57,0,Yes,21.33
222,6.01,4,Yes,14.12
223,8.05,0,Yes,23.35
224,6.21,2,Yes,8.5
225,7.12,3,Yes,11.84
226,8.37,1,Yes,17.76
228,6.64,3,Yes,18.54
229,6.93,2,Yes,3.6
232,7.67,4,Yes,28.52
233,7.54,0,Yes,21.81
234,6.98,2,Yes,16.38
235,9.22,4,Yes,28.19
240,8.18,0,Yes,14.86
243,7.9,4,Yes,29.47
245,6.54,3,Yes,16.83
246,7.23,4,Yes,6.09
248,6.98,0,Yes,23.65
249,8.91,0,Yes,21.33
250,7.82,0,Yes,23.87
251,6.49,2,Yes,28.69
253,9.2,1,Yes,23.97
254,8.33,2,Yes,19.51
256,7.11,1,Yes,26.15
257,8.51,1,Yes,21.18
258,6.93,0,Yes,14.02
260,8.12,4,Yes,26.91
261,6.76,1,Yes,8.99
262,7.45,1,Yes,22.3
263,4.91,3,Yes,26.8
264,6.68,4,Yes,22.75
265,7.3,4,Yes,21.83
266,6.5,1,Yes,23.32
268,6.36,3,Yes,15.56
272,6.35,3,Yes,26.6
273,8.43,3,Yes,8.49
274,7.51,2,Yes,6.44
275,6.71,1,Yes,10.71
276,7.87,3,Yes,17.35
279,7.56,4,Yes,16.79
280,7.19,4,Yes,25.16
282,8.03,4,Yes,13.92
283,8.77,3,Yes,16.08
285,9.21,3,Yes,3.36
286,5.94,2,Yes,14.06
287,7.38,2,Yes,20.49
289,7.72,4,Yes,3.42
290,7.0,4,Yes,10.58
291,7.33,2,Yes,8.61
292,7.11,1,Yes,4.13
293,7.03,4,Yes,15.94
295,7.79,4,Yes,7.91
297,8.22,2,Yes,23.06
298,7.75,4,Yes,25.89
299,8.15,3,Yes,17.73
300,8.0,2,Yes,29.51
301,6.84,1,Yes,15.16
302,7.05,3,Yes,16.86
303,8.1,1,Yes,29.71
304,7.99,1,Yes,9.25
305,7.48,0,Yes,28.45
308,7.03,1,Yes,4.16
309,7.94,0,Yes,15.05
310,7.34,2,Yes,4.89
311,7.33,3,Yes,22.69
312,8.38,1,Yes,19.43
314,8.15,0,Yes,22.08
315,8.54,1,Yes,13.11
317,8.05,1,Yes,12.98
319,7.76,3,Yes,4.22
320,7.4,3,Yes,12.45
321,7.58,0,Yes,28.09
322,7.98,3,Yes,13.24
324,9.17,1,Yes,25.45
326,6.53,4,Yes,25.74
327,8.43,4,Yes,13.08
328,8.13,3,Yes,20.06
329,8.0,0,Yes,5.58
331,7.49,0,Yes,5.8
332,6.78,1,Yes,4.31
333,7.56,1,Yes,18.69
334,6.96,0,Yes,14.5
335,8.28,4,Yes,17.8
336,7.38,1,Yes,17.07
338,7.24,1,Yes,12.46
339,7.83,2,Yes,21.29
340,7.05,4,Yes,23.48
341,6.84,3,Yes,3.39
343,7.7,2,Yes,8.6
344,7.09,3,Yes,22.26
345,7.12,3,Yes,13.44
346,7.69,1,Yes,20.89
347,6.34,0,Yes,12.37
351,7.75,1,Yes,13.55
352,8.68,0,Yes,7.28
353,8.19,1,Yes,9.97
354,7.37,4,Yes,19.35
356,6.7,2,Yes,14.7
359,7.76,0,Yes,23.91
360,6.84,4,Yes,26.02
361,7.92,0,Yes,17.62
362,8.73,4,Yes,23.47
364,7.82,3,Yes,11.29
365,8.05,2,Yes,14.2
366,7.18,1,Yes,22.24
368,7.51,4,Yes,13.43
370,6.88,0,Yes,18.89
373,8.66,2,Yes,8.01
374,8.27,4,Yes,19.19
376,6.89,2,Yes,26.26
378,7.65,4,Yes,26.45
382,7.02,3,Yes,22.56
383,5.8,2,Yes,23.14
384,7.08,3,Yes,18.06
385,6.89,1,Yes,18.79
386,7.62,1,Yes,6.61
387,7.77,4,Yes,14.98
389,8.26,4,Yes,15.17
390,7.04,0,Yes,28.88
391,6.78,3,Yes,14.64
392,7.89,2,Yes,17.83
393,6.44,0,Yes,17.4
396,7.12,0,Yes,20.19
397,6.13,3,Yes,23.2
399,7.41,0,Yes,9.08
400,8.49,3,Yes,17.28
401,6.22,1,Yes,25.3
402,7.02,3,Yes,15.5
403,7.5,4,Yes,10.52
404,7.54,3,Yes,20.68
405,7.14,2,Yes,25.24
407,6.65,1,Yes,4.7
410,7.91,4,Yes,23.97
411,8.07,1,Yes,25.18
412,6.6,2,Yes,15.46
413,6.27,1,Yes,29.55
415,7.77,1,Yes,24.24
417,8.74,2,Yes,23.89
418,7.59,1,Yes,23.19
419,8.44,3,Yes,7.07
420,7.55,3,Yes,8.87
421,9.15,1,Yes,15.53
422,8.9,3,Yes,10.13
423,7.3,4,Yes,14.21
424,8.28,4,Yes,26.99
426,8.59,0,Yes,25.26
430,6.09,0,Yes,20.01
432,5.87,3,Yes,26.17
433,7.28,2,Yes,24.16
434,8.07,4,Yes,14.58
436,7.56,2,Yes,8.43
438,6.4,3,Yes,16.88
441,7.81,0,Yes,22.88
443,5.85,3,Yes,14.78
444,7.43,1,Yes,21.0
445,6.46,0,Yes,5.55
446,8.04,4,Yes,23.2
447,7.79,3,Yes,24.94
448,6.75,3,Yes,22.08
449,7.09,1,Yes,29.12
455,7.08,1,Yes,25.32
456,6.87,0,Yes,27.38
458,6.67,1,Yes,28.21
459,7.06,2,Yes,24.64
460,6.54,0,Yes,21.2
461,9.07,0,Yes,3.15
462,7.53,0,Yes,15.58
463,6.94,2,Yes,18.42
464,7.67,2,Yes,11.21
465,7.41,3,Yes,11.59
466,7.32,1,Yes,28.95
467,7.99,3,Yes,27.08
469,7.08,2,Yes,25.93
470,7.04,2,Yes,13.96
472,5.66,4,Yes,3.37
473,6.29,3,Yes,5.17
474,8.59,1,Yes,11.43
476,7.3,0,Yes,3.43
477,7.96,1,Yes,3.46
479,9.96,4,Yes,27.75
480,8.4,2,Yes,22.07
481,7.4,1,Yes,11.34
482,6.74,2,Yes,6.58
483,6.21,3,Yes,16.81
484,7.66,0,Yes,3.14
486,6.36,2,Yes,28.34
487,6.98,1,Yes,14.2
488,6.63,2,Yes,13.86
489,8.85,1,Yes,13.55
490,8.21,2,Yes,4.87
492,8.68,3,Yes,20.23
495,8.72,0,Yes,22.79
497,6.67,0,Yes,21.26
498,7.35,4,Yes,6.74
499,6.8,0,Yes,18.63
500,6.39,3,Yes,18.38
501,8.24,0,Yes,26.45
502,9.03,4,Yes,13.24
503,6.38,3,Yes,13.03
504,7.95,2,Yes,19.7
505,6.98,2,Yes,20.09
508,6.81,4,Yes,15.67
509,7.54,4,Yes,14.96
513,7.31,3,Yes,16.34
514,6.77,0,Yes,26.25
515,7.04,3,Yes,15.45
516,8.1,4,Yes,28.38
519,7.58,3,Yes,16.61
521,6.16,3,Yes,28.63
522,7.93,1,Yes,25.49
523,6.97,4,Yes,12.79
525,6.89,4,Yes,26.32
528,7.54,3,Yes,5.97
529,7.71,2,Yes,27.98
531,8.01,4,Yes,20.05
534,6.53,1,Yes,4.47
535,6.98,0,Yes,20.39
537,6.81,2,Yes,29.3
538,7.19,1,Yes,4.88
539,8.31,4,Yes,17.98
540,7.04,0,Yes,23.19
543,7.92,2,Yes,24.88
544,8.65,4,Yes,14.17
545,5.52,0,Yes,8.51
547,7.96,2,Yes,4.14
548,7.34,3,Yes,18.65
549,7.8,0,Yes,15.23
550,7.02,3,Yes,28.62
552,7.38,0,Yes,4.64
553,8.43,4,Yes,21.51
554,7.7,3,Yes,3.67
556,7.17,4,Yes,7.63
557,7.11,3,Yes,15.25
558,7.15,3,Yes,15.28
560,7.16,1,Yes,21.51
561,7.73,4,Yes,27.58
562,9.16,3,Yes,20.25
564,7.24,2,Yes,28.75
566,7.17,3,Yes,26.8
567,5.87,4,Yes,18.78
568,6.69,4,Yes,25.51
570,7.22,1,Yes,20.35
573,7.76,4,Yes,5.12
576,5.73,4,Yes,23.0
577,7.69,0,Yes,5.56
579,6.32,4,Yes,19.04
582,7.17,4,Yes,21.97
583,8.01,4,Yes,4.8
584,9.32,4,Yes,9.23
585,7.65,1,Yes,27.72
586,7.7,4,Yes,19.64
587,7.13,4,Yes,9.65
588,6.82,3,Yes,21.65
591,7.56,0,Yes,19.11
592,7.12,3,Yes,16.54
593,7.88,2,Yes,29.36
594,7.77,4,Yes,21.45
599,7.14,1,Yes,13.14
601,8.11,3,Yes,24.6
603,8.2,2,Yes,26.88
606,9.0,3,Yes,6.38
607,6.88,4,Yes,8.41
609,6.08,4,Yes,8.84
610,8.7,1,Yes,21.66
611,8.02,4,Yes,19.28
612,7.46,0,Yes,19.71
614,6.6,0,Yes,28.4
615,9.46,0,Yes,23.95
616,7.6,0,Yes,6.45
617,7.59,0,Yes,12.38
618,8.08,1,Yes,14.76
619,7.88,3,Yes,13.69
620,7.68,4,Yes,21.07
621,6.87,0,Yes,27.08
623,9.01,1,Yes,11.26
624,8.58,1,Yes,17.9
625,8.77,3,Yes,24.31
626,7.09,4,Yes,14.24
627,6.71,3,Yes,7.54
628,7.4,2,Yes,15.82
630,8.38,2,Yes,4.49
631,6.15,0,Yes,28.44
633,7.37,3,Yes,5.02
634,7.16,4,Yes,14.84
635,6.69,2,Yes,17.31
636,6.18,4,Yes,29.6
640,6.46,4,Yes,7.48
641,7.23,0,Yes,6.09
642,8.84,2,Yes,3.24
643,7.29,0,Yes,7.2
644,6.3,4,Yes,8.6
646,7.28,2,Yes,20.03
647,5.34,0,Yes,8.93
648,7.46,4,Yes,3.55
649,7.32,3,Yes,25.32
650,8.06,4,Yes,12.87
652,8.4,3,Yes,12.55
654,6.61,3,Yes,11.17
657,7.51,3,Yes,29.34
658,7.48,2,Yes,7.59
660,7.38,1,Yes,27.25
662,7.06,4,Yes,23.97
663,7.47,1,Yes,5.06
666,7.59,0,Yes,29.64
668,8.7,1,Yes,10.33
669,5.38,1,Yes,5.66
670,8.37,2,Yes,25.39
671,8.5,0,Yes,22.08
673,7.23,3,Yes,19.66
674,7.2,0,Yes,7.21
675,6.37,0,Yes,15.92
676,6.88,0,Yes,24.08
677,6.61,1,Yes,11.2
679,8.25,1,Yes,11.42
682,6.6,3,Yes,3.08
685,6.52,4,Yes,7.7
686,8.07,4,Yes,26.64
687,7.31,3,Yes,14.93
688,7.2,1,Yes,29.57
690,7.86,1,Yes,13.68
692,8.43,1,Yes,22.31
693,6.64,0,Yes,10.61
695,7.97,2,Yes,12.82
696,7.25,3,Yes,8.15
697,7.76,1,Yes,12.37
698,6.5,0,Yes,17.78
699,8.24,1,Yes,29.78
700,7.35,3,Yes,20.93
701,7.08,3,Yes,8.38
703,6.94,3,Yes,4.21
704,6.37,2,Yes,6.41
705,6.25,0,Yes,18.19
707,6.48,2,Yes,23.66
708,8.9,1,Yes,28.39
709,5.83,0,Yes,3.43
710,8.86,3,Yes,17.11
713,7.06,4,Yes,15.71
714,7.82,4,Yes,20.71
715,7.47,4,Yes,18.11
718,7.62,2,Yes,21.55
721,7.75,4,Yes,20.77
722,6.13,4,Yes,6.16
723,6.42,1,Yes,24.59
728,7.78,2,Yes,6.33
731,7.66,3,Yes,21.86
732,6.72,4,Yes,14.24
734,6.14,4,Yes,16.87
736,7.88,0,Yes,27.39
737,7.7,2,Yes,27.03
739,8.83,4,Yes,25.08
740,8.31,3,Yes,16.77
741,6.03,0,Yes,22.88
743,7.0,1,Yes,16.85
745,7.91,0,Yes,26.48
748,6.9,2,Yes,13.87
749,7.01,0,Yes,29.2
750,6.37,3,Yes,28.17
751,6.76,2,Yes,23.02
752,6.42,1,Yes,10.54
753,6.72,1,Yes,6.55
754,8.34,2,Yes,26.08
755,6.74,0,Yes,7.46
756,9.61,1,Yes,26.07
757,7.89,4,Yes,16.25
759,6.81,2,Yes,13.98
760,8.06,1,Yes,27.39
761,7.04,0,Yes,19.3
766,6.94,1,Yes,18.57
769,7.0,3,Yes,18.09
771,8.07,0,Yes,13.02
772,7.05,1,Yes,24.21
773,8.01,4,Yes,9.83
774,8.28,0,Yes,28.35
776,6.24,2,Yes,27.14
777,6.92,2,Yes,12.11
778,7.3,2,Yes,22.7
780,8.0,1,Yes,18.48
781,7.64,3,Yes,12.12
784,7.99,3,Yes,29.69
788,7.87,4,Yes,3.68
789,7.44,4,Yes,9.82
790,6.17,4,Yes,17.04
791,7.84,1,Yes,17.09
792,7.67,3,Yes,18.9
793,7.72,3,Yes,23.3
794,6.48,0,Yes,19.83
795,6.64,4,Yes,19.21
796,8.34,3,Yes,4.44
798,8.05,3,Yes,13.17
799,7.52,4,Yes,9.27
801,8.25,4,Yes,10.16
804,7.13,3,Yes,17.97
806,7.25,1,Yes,8.39
807,7.68,2,Yes,10.94
808,7.12,3,Yes,9.4
809,8.5,3,Yes,28.61
811,7.35,0,Yes,28.51
812,7.15,2,Yes,19.47
813,8.66,4,Yes,27.96
814,7.66,3,Yes,24.22
815,8.33,1,Yes,18.93
816,6.31,4,Yes,3.17
818,8.21,2,Yes,23.86
819,7.57,4,Yes,21.97
820,8.35,3,Yes,19.61
821,7.09,0,Yes,23.53
823,9.34,1,Yes,16.85
824,7.21,3,Yes,22.01
825,7.14,0,Yes,28.25
827,8.76,3,Yes,13.15
828,7.08,2,Yes,22.12
830,7.27,0,Yes,15.84
833,6.7,0,Yes,21.21
834,6.89,0,Yes,23.6
835,7.47,3,Yes,4.23
836,7.69,3,Yes,20.46
838,6.7,3,Yes,9.12
839,8.29,2,Yes,21.09
841,7.46,1,Yes,15.64
842,8.04,4,Yes,23.89
843,6.6,0,Yes,6.33
844,7.81,3,Yes,19.91
846,7.89,1,Yes,10.52
847,7.73,1,Yes,26.03
848,9.46,2,Yes,28.07
849,6.99,4,Yes,29.9
850,7.08,2,Yes,24.49
851,7.0,0,Yes,23.35
852,7.06,4,Yes,8.82
854,8.45,2,Yes,12.07
855,8.64,4,Yes,15.57
856,7.04,2,Yes,23.88
859,7.06,1,Yes,27.7
861,7.66,1,Yes,8.11
862,6.29,2,Yes,27.9
863,8.74,4,Yes,21.78
864,8.94,4,Yes,19.49
866,7.19,3,Yes,8.4
867,7.73,0,Yes,4.5
869,8.03,1,Yes,18.35
870,9.11,4,Yes,20.59
871,7.36,3,Yes,8.69
872,6.86,1,Yes,18.02
873,6.4,3,Yes,26.13
874,6.92,1,Yes,25.55
875,7.47,2,Yes,28.04
876,8.94,0,Yes,12.88
878,7.68,3,Yes,11.59
879,7.49,0,Yes,23.23
880,8.45,3,Yes,14.64
881,9.52,3,Yes,5.36
882,7.08,3,Yes,10.64
883,7.11,0,Yes,14.3
884,8.34,3,Yes,10.9
886,8.98,3,Yes,11.97
888,7.21,3,Yes,10.93
890,8.39,3,Yes,4.12
892,7.91,3,Yes,20.2
893,8.35,1,Yes,19.13
894,8.44,1,Yes,20.64
896,8.02,4,Yes,8.19
897,7.37,3,Yes,10.98
898,7.62,0,Yes,19.73
899,8.47,4,Yes,19.19
900,6.85,3,Yes,16.67
901,7.79,2,Yes,12.46
905,7.65,2,Yes,27.65
908,8.1,3,Yes,12.17
909,8.02,1,Yes,15.3
910,9.23,0,Yes,21.31
912,7.68,1,Yes,17.66
913,7.7,2,Yes,12.37
914,8.76,3,Yes,14.76
918,7.65,3,Yes,24.45
919,7.14,0,Yes,10.51
920,7.66,4,Yes,6.84
921,8.36,1,Yes,11.46
922,6.68,4,Yes,25.94
923,7.61,1,Yes,5.4
924,6.94,4,Yes,29.78
925,8.46,2,Yes,17.61
927,7.05,4,Yes,29.59
929,8.75,2,Yes,28.35
930,7.45,2,Yes,15.23
931,7.06,0,Yes,8.36
932,9.0,4,Yes,7.45
933,6.34,3,Yes,9.48
934,5.74,0,Yes,22.17
935,7.85,4,Yes,10.37
936,7.1,0,Yes,12.22
937,6.68,0,Yes,15.12
941,6.48,1,Yes,27.66
944,7.42,0,Yes,8.11
946,6.64,4,Yes,3.14
949,7.46,1,Yes,4.62
950,7.69,2,Yes,27.43
952,7.78,0,Yes,20.48
953,6.5,0,Yes,10.37
955,7.43,1,Yes,7.78
956,8.39,0,Yes,10.95
957,7.77,1,Yes,6.1
958,7.87,4,Yes,28.42
959,7.96,4,Yes,24.17
960,7.86,1,Yes,15.48
961,8.01,0,Yes,26.35
962,8.56,1,Yes,9.74
964,8.07,1,Yes,22.36
965,7.43,2,Yes,26.12
966,8.65,4,Yes,12.63
967,6.96,3,Yes,23.45
968,8.94,3,Yes,10.97
969,7.47,2,Yes,11.07
971,7.6,2,Yes,5.89
972,6.96,2,Yes,14.88
973,8.17,0,Yes,22.7
974,6.98,4,Yes,28.39
975,7.14,3,Yes,19.3
976,5.99,1,Yes,26.3
977,7.14,3,Yes,25.21
979,6.23,4,Yes,7.68
980,8.11,3,Yes,16.12
981,8.13,3,Yes,6.16
982,7.84,2,Yes,21.42
983,6.73,4,Yes,28.65
984,7.46,0,Yes,6.7
985,7.5,1,Yes,22.81
986,6.57,3,Yes,20.07
987,8.7,1,Yes,18.76
988,8.2,0,Yes,13.53
989,7.32,1,Yes,12.59
990,7.52,0,Yes,4.22
991,7.67,2,Yes,8.88
993,7.3,0,Yes,3.41
995,6.7,3,Yes,18.7
996,7.28,2,Yes,5.86
997,8.94,3,Yes,26.57
998,8.01,0,Yes,17.12
999,7.04,2,Yes,21.89
